ISIN,DocumentType,EffectiveDate,DownloadDate,DownloadUrl,FilePath,MD5Hash,FileSize
DE000A2QDR91,Semi annual report,05/31/2023,2024-03-13,https://fondswelt.hansainvest.com//uploads/documents/halbjahresbericht/HJB_1898_BRW_Return_Bericht_2023-05-31.pdf,../Hansainvest/DE000A2QDR91/HJB_1898_BRW_Return_Bericht_2023-05-31.pdf,5a47e91f2136f86548f4a17507fd8ddd,674605
DE000A2QDSA6,Prospectus,12/22/2023,2024-03-13,https://fondswelt.hansainvest.com//uploads/documents/verkaufsprospekt/VKP_BRW_Return_22_12_2023.pdf,../Hansainvest/DE000A2QDSA6/VKP_BRW_Return_22_12_2023.pdf,a1d19832465063d733b8f215dc21b6ce,1531763
DE000A2QDSA6,Annual report,11/30/2022,2024-03-13,https://fondswelt.hansainvest.com//uploads/documents/jahresbericht/JB_1898_BRW_Return_Bericht_2022-11-30.pdf,../Hansainvest/DE000A2QDSA6/JB_1898_BRW_Return_Bericht_2022-11-30.pdf,6950c34e35459f6f1dff4980057c8cd7,2364468
DE000A2QDSA6,Semi annual report,05/31/2023,2024-03-13,https://fondswelt.hansainvest.com//uploads/documents/halbjahresbericht/HJB_1898_BRW_Return_Bericht_2023-05-31.pdf,../Hansainvest/DE000A2QDSA6/HJB_1898_BRW_Return_Bericht_2023-05-31.pdf,5a47e91f2136f86548f4a17507fd8ddd,674605
DE000A2QDSB4,Prospectus,12/22/2023,2024-03-13,https://fondswelt.hansainvest.com//uploads/documents/verkaufsprospekt/VKP_BRW_Return_22_12_2023.pdf,../Hansainvest/DE000A2QDSB4/VKP_BRW_Return_22_12_2023.pdf,a1d19832465063d733b8f215dc21b6ce,1531763
DE000A2QDSB4,Annual report,11/30/2022,2024-03-13,https://fondswelt.hansainvest.com//uploads/documents/jahresbericht/JB_1898_BRW_Return_Bericht_2022-11-30.pdf,../Hansainvest/DE000A2QDSB4/JB_1898_BRW_Return_Bericht_2022-11-30.pdf,6950c34e35459f6f1dff4980057c8cd7,2364468
DE000A2QDSB4,Semi annual report,05/31/2023,2024-03-13,https://fondswelt.hansainvest.com//uploads/documents/halbjahresbericht/HJB_1898_BRW_Return_Bericht_2023-05-31.pdf,../Hansainvest/DE000A2QDSB4/HJB_1898_BRW_Return_Bericht_2023-05-31.pdf,5a47e91f2136f86548f4a17507fd8ddd,674605
DE000A2H7PF7,Prospectus,12/22/2023,2024-03-13,https://fondswelt.hansainvest.com//uploads/documents/verkaufsprospekt/VKP_BRW_Stable_Return_22_12_2023.pdf,../Hansainvest/DE000A2H7PF7/VKP_BRW_Stable_Return_22_12_2023.pdf,b068bb612040a65b53d48f1d4a8948d1,1536941
DE000A2H7PF7,Annual report,02/28/2023,2024-03-13,https://fondswelt.hansainvest.com//uploads/documents/jahresbericht/JB_1859_BRW_Stable_Return.pdf,../Hansainvest/DE000A2H7PF7/JB_1859_BRW_Stable_Return.pdf,1c010bb86398f2a11f0728d732d381b6,2799432
DE000A2H7PF7,Semi annual report,08/31/2023,2024-03-13,https://fondswelt.hansainvest.com//uploads/documents/halbjahresbericht/HJB_1859_BRW_Stable_Return_2023-08-31.pdf,../Hansainvest/DE000A2H7PF7/HJB_1859_BRW_Stable_Return_2023-08-31.pdf,d204c118a854b57eb98c85d24c567fee,908823
DE000A2JF8F9,Prospectus,12/22/2023,2024-03-13,https://fondswelt.hansainvest.com//uploads/documents/verkaufsprospekt/VKP_BRW_Stable_Return_22_12_2023.pdf,../Hansainvest/DE000A2JF8F9/VKP_BRW_Stable_Return_22_12_2023.pdf,b068bb612040a65b53d48f1d4a8948d1,1536941
DE000A2JF8F9,Annual report,02/28/2023,2024-03-13,https://fondswelt.hansainvest.com//uploads/documents/jahresbericht/JB_1859_BRW_Stable_Return.pdf,../Hansainvest/DE000A2JF8F9/JB_1859_BRW_Stable_Return.pdf,1c010bb86398f2a11f0728d732d381b6,2799432
DE000A2JF8F9,Semi annual report,08/31/2023,2024-03-13,https://fondswelt.hansainvest.com//uploads/documents/halbjahresbericht/HJB_1859_BRW_Stable_Return_2023-08-31.pdf,../Hansainvest/DE000A2JF8F9/HJB_1859_BRW_Stable_Return_2023-08-31.pdf,d204c118a854b57eb98c85d24c567fee,908823
DE000A2JF7A2,Prospectus,12/22/2023,2024-03-13,https://fondswelt.hansainvest.com//uploads/documents/verkaufsprospekt/VKP_BRW_Stable_Return_22_12_2023.pdf,../Hansainvest/DE000A2JF7A2/VKP_BRW_Stable_Return_22_12_2023.pdf,b068bb612040a65b53d48f1d4a8948d1,1536941
DE000A2JF7A2,Annual report,02/28/2023,2024-03-13,https://fondswelt.hansainvest.com//uploads/documents/jahresbericht/JB_1859_BRW_Stable_Return.pdf,../Hansainvest/DE000A2JF7A2/JB_1859_BRW_Stable_Return.pdf,1c010bb86398f2a11f0728d732d381b6,2799432
DE000A2JF7A2,Semi annual report,08/31/2023,2024-03-13,https://fondswelt.hansainvest.com//uploads/documents/halbjahresbericht/HJB_1859_BRW_Stable_Return_2023-08-31.pdf,../Hansainvest/DE000A2JF7A2/HJB_1859_BRW_Stable_Return_2023-08-31.pdf,d204c118a854b57eb98c85d24c567fee,908823
DE000A2H7N08,Prospectus,12/22/2023,2024-03-13,https://fondswelt.hansainvest.com//uploads/documents/verkaufsprospekt/VKP_BRW_Stable_Return_22_12_2023.pdf,../Hansainvest/DE000A2H7N08/VKP_BRW_Stable_Return_22_12_2023.pdf,b068bb612040a65b53d48f1d4a8948d1,1536941
DE000A2H7N08,Annual report,02/28/2023,2024-03-13,https://fondswelt.hansainvest.com//uploads/documents/jahresbericht/JB_1859_BRW_Stable_Return.pdf,../Hansainvest/DE000A2H7N08/JB_1859_BRW_Stable_Return.pdf,1c010bb86398f2a11f0728d732d381b6,2799432
DE000A2H7N08,Semi annual report,08/31/2023,2024-03-13,https://fondswelt.hansainvest.com//uploads/documents/halbjahresbericht/HJB_1859_BRW_Stable_Return_2023-08-31.pdf,../Hansainvest/DE000A2H7N08/HJB_1859_BRW_Stable_Return_2023-08-31.pdf,d204c118a854b57eb98c85d24c567fee,908823
DE000A0YJMJ5,Prospectus,07/01/2023,2024-03-13,https://fondswelt.hansainvest.com//uploads/documents/verkaufsprospekt/VKP_C_Quadrat_ARTS_TRF_01_07_2023.pdf,../Hansainvest/DE000A0YJMJ5/VKP_C_Quadrat_ARTS_TRF_01_07_2023.pdf,406ec6eb9284552126772fd7da07f5f7,1502200
DE000A0YJMJ5,Annual report,12/31/2022,2024-03-13,https://fondswelt.hansainvest.com//uploads/documents/jahresbericht/JB_6042-C-QUADRAT_ARTS_Total_Return_Flexible_Bericht-2022-12-31.pdf,../Hansainvest/DE000A0YJMJ5/JB_6042-C-QUADRAT_ARTS_Total_Return_Flexible_Bericht-2022-12-31.pdf,87c8b04d5e189c1d92c3ed179ef39999,1978267
DE000A0YJMJ5,Semi annual report,06/30/2023,2024-03-13,https://fondswelt.hansainvest.com//uploads/documents/halbjahresbericht/HJB_6042_C-QUADRAT_ARTS_Total_Return_Flexible_Bericht_2023-06-30.pdf,../Hansainvest/DE000A0YJMJ5/HJB_6042_C-QUADRAT_ARTS_Total_Return_Flexible_Bericht_2023-06-30.pdf,9c6706bbdecddee579ca83f53883b9af,861321
DE000A2JF840,Prospectus,07/01/2023,2024-03-13,https://fondswelt.hansainvest.com//uploads/documents/verkaufsprospekt/VKP_C_Quadrat_ARTS_TRF_01_07_2023.pdf,../Hansainvest/DE000A2JF840/VKP_C_Quadrat_ARTS_TRF_01_07_2023.pdf,406ec6eb9284552126772fd7da07f5f7,1502200
DE000A2JF840,Annual report,12/31/2022,2024-03-13,https://fondswelt.hansainvest.com//uploads/documents/jahresbericht/JB_6042-C-QUADRAT_ARTS_Total_Return_Flexible_Bericht-2022-12-31.pdf,../Hansainvest/DE000A2JF840/JB_6042-C-QUADRAT_ARTS_Total_Return_Flexible_Bericht-2022-12-31.pdf,87c8b04d5e189c1d92c3ed179ef39999,1978267
DE000A2JF840,Semi annual report,06/30/2023,2024-03-13,https://fondswelt.hansainvest.com//uploads/documents/halbjahresbericht/HJB_6042_C-QUADRAT_ARTS_Total_Return_Flexible_Bericht_2023-06-30.pdf,../Hansainvest/DE000A2JF840/HJB_6042_C-QUADRAT_ARTS_Total_Return_Flexible_Bericht_2023-06-30.pdf,9c6706bbdecddee579ca83f53883b9af,861321
DE000A0YJMN7,Prospectus,07/01/2023,2024-03-13,https://fondswelt.hansainvest.com//uploads/documents/verkaufsprospekt/VKP_C_Quadrat_ARTS_TRF_01_07_2023.pdf,../Hansainvest/DE000A0YJMN7/VKP_C_Quadrat_ARTS_TRF_01_07_2023.pdf,406ec6eb9284552126772fd7da07f5f7,1502200
DE000A0YJMN7,Annual report,12/31/2022,2024-03-13,https://fondswelt.hansainvest.com//uploads/documents/jahresbericht/JB_6042-C-QUADRAT_ARTS_Total_Return_Flexible_Bericht-2022-12-31.pdf,../Hansainvest/DE000A0YJMN7/JB_6042-C-QUADRAT_ARTS_Total_Return_Flexible_Bericht-2022-12-31.pdf,87c8b04d5e189c1d92c3ed179ef39999,1978267
DE000A0YJMN7,Semi annual report,06/30/2023,2024-03-13,https://fondswelt.hansainvest.com//uploads/documents/halbjahresbericht/HJB_6042_C-QUADRAT_ARTS_Total_Return_Flexible_Bericht_2023-06-30.pdf,../Hansainvest/DE000A0YJMN7/HJB_6042_C-QUADRAT_ARTS_Total_Return_Flexible_Bericht_2023-06-30.pdf,9c6706bbdecddee579ca83f53883b9af,861321
DE000A1JRP71,Prospectus,07/01/2023,2024-03-13,https://fondswelt.hansainvest.com//uploads/documents/verkaufsprospekt/VKP_C_Quadrat_ARTS_TRF_01_07_2023.pdf,../Hansainvest/DE000A1JRP71/VKP_C_Quadrat_ARTS_TRF_01_07_2023.pdf,406ec6eb9284552126772fd7da07f5f7,1502200
